user_id,item_id,category,location,interaction
1,Blouse,Clothing,Kentucky,1
2,Sweater,Clothing,Maine,1
3,Jeans,Clothing,Massachusetts,1
4,Sandals,Footwear,Rhode Island,1
5,Blouse,Clothing,Oregon,1
6,Sneakers,Footwear,Wyoming,1
7,Shirt,Clothing,Montana,1
8,Shorts,Clothing,Louisiana,1
9,Coat,Outerwear,West Virginia,1
10,Handbag,Accessories,Missouri,1
11,Shoes,Footwear,Arkansas,1
12,Shorts,Clothing,Hawaii,1
13,Coat,Outerwear,Delaware,1
14,Dress,Clothing,New Hampshire,1
15,Coat,Outerwear,New York,1
16,Skirt,Clothing,Rhode Island,1
17,Sunglasses,Accessories,Alabama,1
18,Dress,Clothing,Mississippi,1
19,Sweater,Clothing,Montana,1
20,Pants,Clothing,Rhode Island,1
21,Pants,Clothing,Louisiana,1
22,Pants,Clothing,North Carolina,1
23,Pants,Clothing,California,1
24,Pants,Clothing,Oklahoma,1
25,Jacket,Outerwear,Florida,1
26,Hoodie,Clothing,Texas,1
27,Jewelry,Accessories,Nevada,1
28,Shorts,Clothing,Kentucky,1
29,Handbag,Accessories,North Carolina,1
30,Dress,Clothing,Wyoming,1
31,Jewelry,Accessories,North Carolina,1
32,Dress,Clothing,West Virginia,1
33,Jacket,Outerwear,Kansas,1
34,Pants,Clothing,Colorado,1
35,T-shirt,Clothing,North Dakota,1
36,Blouse,Clothing,Massachusetts,1
37,T-shirt,Clothing,Illinois,1
38,Jeans,Clothing,Indiana,1
39,Dress,Clothing,Florida,1
40,Pants,Clothing,Arizona,1
41,Handbag,Accessories,Louisiana,1
42,Scarf,Accessories,Alaska,1
43,Coat,Outerwear,Tennessee,1
44,Scarf,Accessories,Ohio,1
45,Hat,Accessories,Kentucky,1
46,Socks,Clothing,Tennessee,1
47,Shirt,Clothing,California,1
48,Jewelry,Accessories,Montana,1
49,Shirt,Clothing,Nevada,1
50,Hoodie,Clothing,New Jersey,1
51,Blouse,Clothing,Maryland,1
52,Skirt,Clothing,Vermont,1
53,T-shirt,Clothing,Alaska,1
54,Skirt,Clothing,Mississippi,1
55,Coat,Outerwear,New Mexico,1
56,Jacket,Outerwear,South Carolina,1
57,Backpack,Accessories,Mississippi,1
58,Coat,Outerwear,West Virginia,1
59,Hoodie,Clothing,Missouri,1
60,Belt,Accessories,Louisiana,1
61,Sweater,Clothing,Idaho,1
62,Scarf,Accessories,Texas,1
63,Sneakers,Footwear,Mississippi,1
64,Sunglasses,Accessories,Arizona,1
65,Boots,Footwear,Alabama,1
66,Backpack,Accessories,New Jersey,1
67,Blouse,Clothing,Pennsylvania,1
68,Coat,Outerwear,Connecticut,1
69,Handbag,Accessories,Utah,1
70,Belt,Accessories,Tennessee,1
71,Belt,Accessories,Alabama,1
72,Dress,Clothing,Virginia,1
73,Dress,Clothing,Georgia,1
74,Pants,Clothing,Hawaii,1
75,Gloves,Accessories,Indiana,1
76,Scarf,Accessories,Utah,1
77,Hat,Accessories,Delaware,1
78,Dress,Clothing,Delaware,1
79,Skirt,Clothing,Nebraska,1
80,Jacket,Outerwear,Iowa,1
81,Sandals,Footwear,New York,1
82,Shoes,Footwear,Virginia,1
83,Pants,Clothing,Georgia,1
84,Dress,Clothing,Texas,1
85,Coat,Outerwear,Arizona,1
86,Sunglasses,Accessories,New Mexico,1
87,Hoodie,Clothing,Nevada,1
88,Shoes,Footwear,Ohio,1
89,T-shirt,Clothing,Wyoming,1
90,Jacket,Outerwear,California,1
91,Hat,Accessories,South Carolina,1
92,Scarf,Accessories,South Carolina,1
93,Jacket,Outerwear,Texas,1
94,Sweater,Clothing,Florida,1
95,Skirt,Clothing,Nevada,1
96,Sneakers,Footwear,Missouri,1
97,Gloves,Accessories,Delaware,1
98,Shoes,Footwear,Virginia,1
99,Jeans,Clothing,New York,1
100,Hoodie,Clothing,Missouri,1
101,Sunglasses,Accessories,South Dakota,1
102,Coat,Outerwear,North Dakota,1
103,Socks,Clothing,Oklahoma,1
104,Boots,Footwear,West Virginia,1
105,Sunglasses,Accessories,New Hampshire,1
106,Backpack,Accessories,New York,1
107,Jacket,Outerwear,Minnesota,1
108,Sneakers,Footwear,Maryland,1
109,Socks,Clothing,Montana,1
110,T-shirt,Clothing,Alabama,1
111,Backpack,Accessories,New York,1
112,Belt,Accessories,Massachusetts,1
113,Gloves,Accessories,Florida,1
114,Hat,Accessories,New Jersey,1
115,Coat,Outerwear,Massachusetts,1
116,Skirt,Clothing,Wyoming,1
117,Shoes,Footwear,Virginia,1
118,Sandals,Footwear,South Dakota,1
119,Sweater,Clothing,Kentucky,1
120,Coat,Outerwear,Wyoming,1
121,Hat,Accessories,West Virginia,1
122,Shorts,Clothing,Virginia,1
123,Backpack,Accessories,Washington,1
124,Sweater,Clothing,Louisiana,1
125,Sweater,Clothing,Nevada,1
126,Shorts,Clothing,California,1
127,Shorts,Clothing,Mississippi,1
128,Sweater,Clothing,Mississippi,1
129,Scarf,Accessories,California,1
130,Dress,Clothing,Pennsylvania,1
131,Scarf,Accessories,Kentucky,1
132,Skirt,Clothing,Maine,1
133,Backpack,Accessories,New Mexico,1
134,Sweater,Clothing,Montana,1
135,Hat,Accessories,Texas,1
136,Sandals,Footwear,Kansas,1
137,Blouse,Clothing,South Carolina,1
138,Sneakers,Footwear,Colorado,1
139,Skirt,Clothing,Georgia,1
140,Coat,Outerwear,Florida,1
141,Shirt,Clothing,North Carolina,1
142,Gloves,Accessories,Virginia,1
143,Jacket,Outerwear,Nebraska,1
144,Coat,Outerwear,Missouri,1
145,Shoes,Footwear,New Jersey,1
146,Jewelry,Accessories,Missouri,1
147,Skirt,Clothing,Colorado,1
148,Shoes,Footwear,Idaho,1
149,Gloves,Accessories,Wyoming,1
150,Pants,Clothing,Delaware,1
151,Boots,Footwear,California,1
152,Sunglasses,Accessories,North Dakota,1
153,Shirt,Clothing,South Carolina,1
154,Hoodie,Clothing,North Carolina,1
155,Dress,Clothing,Oklahoma,1
156,Socks,Clothing,Maine,1
157,Shorts,Clothing,Missouri,1
158,Hat,Accessories,Vermont,1
159,Shirt,Clothing,Connecticut,1
160,Gloves,Accessories,New Hampshire,1
161,Gloves,Accessories,Texas,1
162,Backpack,Accessories,North Dakota,1
163,Sunglasses,Accessories,California,1
164,Skirt,Clothing,Virginia,1
165,Handbag,Accessories,Delaware,1
166,Handbag,Accessories,Kentucky,1
167,Sneakers,Footwear,Delaware,1
168,Gloves,Accessories,Arkansas,1
169,Shoes,Footwear,Louisiana,1
